date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:00	236216/236216	---M--	200	added ('OK')	image/png	etag:%2219295cb12622e5035cbea282be343efb%22	https://gmx-nchcdd.vercel.app/static/image/photo35.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo35.png	(from https://gmx-nchcdd.vercel.app/)
20:03:03	1253167/1253167	---M--	200	added ('OK')	image/png	etag:%22f24e1285a8f22d81f59d488d84e36a3e%22	https://gmx-nchcdd.vercel.app/static/image/photo36.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo36.png	(from https://gmx-nchcdd.vercel.app/)
20:03:03	546997/546997	---M--	200	added ('OK')	image/png	etag:%22e4c0c683880fb14e4b3d9d9f7b7a98e8%22	https://gmx-nchcdd.vercel.app/static/image/photo41.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo41.png	(from https://gmx-nchcdd.vercel.app/)
20:03:05	736207/736207	---M--	200	added ('OK')	image/png	etag:%222b72fe03c6d9c73d985d0ed268b17dc5%22	https://gmx-nchcdd.vercel.app/static/image/photo48.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo48.png	(from https://gmx-nchcdd.vercel.app/)
20:03:05	582812/582812	---M--	200	added ('OK')	image/png	etag:%22a622996d57d450d634ca5b9d290b41a1%22	https://gmx-nchcdd.vercel.app/static/image/photo1.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo1.png	(from https://gmx-nchcdd.vercel.app/)
20:03:06	112322/112322	---M--	200	added ('OK')	image/png	etag:%22686593dac99c13c6447feade816972a7%22	https://gmx-nchcdd.vercel.app/static/image/photo29.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo29.png	(from https://gmx-nchcdd.vercel.app/)
20:03:07	25351/25351	---M--	200	added ('OK')	image/jpeg	etag:%225aefc7c417475a42db226bd6b40313c6%22	https://gmx-nchcdd.vercel.app/static/image/photo87.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo87.jpg	(from https://gmx-nchcdd.vercel.app/)
20:03:08	113945/113945	---M--	200	added ('OK')	image/png	etag:%2288e3d72ac2062d36f13e967c872fdb84%22	https://gmx-nchcdd.vercel.app/static/image/photo52.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo52.png	(from https://gmx-nchcdd.vercel.app/)
20:03:09	206693/206693	---M--	200	added ('OK')	image/png	etag:%2280a0576fd9147a73387503235e2cefff%22	https://gmx-nchcdd.vercel.app/static/image/photo51.png	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo51.png	(from https://gmx-nchcdd.vercel.app/)
20:03:10	18176/18176	---M--	200	added ('OK')	image/jpeg	etag:%22966394768e5e8c8f74dcb10340d93a58%22	https://gmx-nchcdd.vercel.app/static/image/photo98.jpg	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/static/image/photo98.jpg	(from https://gmx-nchcdd.vercel.app/)
20:03:12	207/207	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Aug%202025%2019:03:12%20GMT	https://gmx-nchcdd.vercel.app/Js/script.js	/Users/charles/websites/gmx%20new/gmx-nchcdd.vercel.app/Js/script.1a.delayed	(from https://gmx-nchcdd.vercel.app/)
